ID,Sex,Treatment,Mass,ML,MAX,REST,Scope,EPOCH,JETS,INKS,Species
1/4 3-7a CH1,M,High,0.23,11.2,1237.77,423.18,814.59,2734,30,4,PY
2/4 1-2c CH1,F,High,0.1266,10.1,1292.03,454.42,837.61,2354,22,3,PY
4/4 1-7c CH3,M,High,0.1811,9.5,1180.11,482.8,697.31,604,31,4,PY
6/4 3-3a CH1,F,Control,0.2904,11.2,1219.87,656.23,563.64,3576,24,3,PY
7/4 3-4a CH1,F,Control,0.1367,10.7,1203.13,290.61,912.52,2292,19,2,PY
7/4 3-4a CH3,M,Control,0.1866,9.8,1019.71,401.65,618.06,,24,3,PY
8/4 1-3c CH1,M,High,0.284,11.4,849.73,260.44,589.29,3290,24,3,PY
8/4 1-3c CH3,M,High,0.1966,9.4,1061.17,469.4,591.77,994,29,6,PY
9/4 1-5c CH1,M,High,0.2236,9.4,1305.45,320.17,985.28,1456,22,3,PY
9/4 1-5c CH3,F,High,0.2428,9.6,1230.35,263.65,966.7,6886,26,3,PY
20/3 3-7a CH1,F,Control,0.3514,13.9,1086.53,535.03,551.5,2100,32,4,PY
21/3 1-6c Ch1,F,High,0.421,14.3,971.04,237.32,733.72,7074,28,4,PY
22/3 1-7c CH1,M,High,0.2909,11,1219.54,287.6,931.94,3778,25,3,PY
23/3 3-5a CH1,F,Control,0.3134,13,1198.53,389.44,809.09,5666,20,2,PY
23/3 3-5a CH3,F,Control,0.3472,13.2,1100.38,241.96,858.42,5398,37,5,PY
26/3 3-4a CH1,M,Control,0.1502,11,1141.81,360.71,781.1,3550,28,1,PY
29/3 1-4c CH1,F,High,0.3525,13,821.25,214.44,606.81,2722,21,3,PY
30/3 3-1c CH1,M,Control,0.1011,9.3,1344.48,470.58,873.9,604,26,3,PY
1-1a,M,High,220.4,155,1045.68,437.83,607.85,10.79,23,3,BF
1-2a,F,High,150.6,145,1154.68,392.42,762.26,10.13,15,1,BF
1-5b,M,High,198.2,148,1159.6,623.36,536.24,6.75,29,3,BF
1-4b,M,High,228.8,167,972.65,503.21,469.44,3.37,15,3,BF
1-6b,M,High,175.9,151,1474.64,726.93,747.71,6.75,24,3,BF
1-7b,M,High,214,154,1008.05,609.73,398.32,11.86,20,4,BF
1-7cR,F,High,92.1,118,1156.99,660.44,496.55,4.7,16,2,BF
3-1a,F,Control,180,147,1070.36,488.95,581.41,9.01,17,3,BF
3-4a,M,Control,140.7,137,1298.07,639.69,658.38,4.24,16,4,BF
3-6a,M,Control,188.2,153,1004.4,643.27,361.13,9.07,22,3,BF
3-7aR,F,Control,128.8,129,1190.89,493.16,440.64,8.88,17,1,BF
3-3b,F,Control,159.1,141,1300.75,616.35,684.4,4.45,33,2,BF
3-4b,M,Control,204.1,158,1089,526.51,562.49,8.92,30,3,BF
3-5b,M,Control,220.2,171,1030.07,579.59,450.48,8.81,25,3,BF
3-7c,M,Control,216.6,157,1144.6,647.63,496.97,11.75,16,3,BF
3-6b,M,Control,59.3,96,1072.48,730.47,342.01,8.01,11,1,BF